
mm/dd,2022:LWG:gaspct (%),2021:LWG:gaspct (%),2020:LWG:gaspct (%),2019:LWG:gaspct (%),2018:LWG:gaspct (%),2017:LWG:gaspct (%),2016:LWG:gaspct (%),2015:LWG:gaspct (%),2014:LWG:gaspct (%),2013:LWG:gaspct (%),2012:LWG:gaspct (%),2011:LWG:gaspct (%),2010:LWG:gaspct (%),2009:LWG:gaspct (%),2008:LWG:gaspct (%),2007:LWG:gaspct (%),2006:LWG:gaspct (%),2005:LWG:gaspct (%),2004:LWG:gaspct (%),2003:LWG:gaspct (%),2002:LWG:gaspct (%),2001:LWG:gaspct (%),2000:LWG:gaspct (%),1999:LWG:gaspct (%),1998:LWG:gaspct (%),2022:LWG:outflow (kcfs),2021:LWG:outflow (kcfs),2020:LWG:outflow (kcfs),2019:LWG:outflow (kcfs),2018:LWG:outflow (kcfs),2017:LWG:outflow (kcfs),2016:LWG:outflow (kcfs),2015:LWG:outflow (kcfs),2014:LWG:outflow (kcfs),2013:LWG:outflow (kcfs),2012:LWG:outflow (kcfs),2011:LWG:outflow (kcfs),2010:LWG:outflow (kcfs),2009:LWG:outflow (kcfs),2008:LWG:outflow (kcfs),2007:LWG:outflow (kcfs),2006:LWG:outflow (kcfs),2005:LWG:outflow (kcfs),2004:LWG:outflow (kcfs),2003:LWG:outflow (kcfs),2002:LWG:outflow (kcfs),2001:LWG:outflow (kcfs),2000:LWG:outflow (kcfs),1999:LWG:outflow (kcfs),1998:LWG:outflow (kcfs),2022:LWG:spillpct (%),2021:LWG:spillpct (%),2020:LWG:spillpct (%),2019:LWG:spillpct (%),2018:LWG:spillpct (%),2017:LWG:spillpct (%),2016:LWG:spillpct (%),2015:LWG:spillpct (%),2014:LWG:spillpct (%),2013:LWG:spillpct (%),2012:LWG:spillpct (%),2011:LWG:spillpct (%),2010:LWG:spillpct (%),2009:LWG:spillpct (%),2008:LWG:spillpct (%),2007:LWG:spillpct (%),2006:LWG:spillpct (%),2005:LWG:spillpct (%),2004:LWG:spillpct (%),2003:LWG:spillpct (%),2002:LWG:spillpct (%),2001:LWG:spillpct (%),2000:LWG:spillpct (%),1999:LWG:spillpct (%),1998:LWG:spillpct (%),2022:LWG:tempc (C),2021:LWG:tempc (C),2020:LWG:tempc (C),2019:LWG:tempc (C),2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C),2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C)
1/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.830,98.424,97.058,98.716,98.660,101.675,102.330,102.633,96.444,28.554,24.879,20.400,19.475,50.929,31.283,26.350,33.554,18.658,31.092,23.479,30.679,22.425,40.133,23.542,37.179,53.838,21.046,17.358,18.421,28.088,16.592,37.233,49.625,31.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,2.423,2.941,NA,NA,NA,NA,NA,NA,NA,NA,4.657,3.408,1.653,4.407,4.539,3.230,3.412,3.967,10.283
1/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.062,98.693,97.202,99.407,99.992,101.160,101.291,101.776,96.199,25.158,26.992,20.913,20.771,50.150,26.204,23.733,30.883,24.413,29.329,24.717,29.092,26.946,36.888,26.938,39.775,44.404,21.358,24.838,14.758,29.575,20.929,37.488,53.125,25.825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,2.958,2.967,NA,NA,NA,NA,NA,NA,NA,NA,4.566,3.301,1.595,4.409,4.663,3.125,3.492,4.158,10.242
1/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.373,97.763,96.946,99.272,99.039,100.748,101.324,101.501,96.323,27.704,29.721,23.671,20.354,56.575,25.338,19.079,27.621,23.092,22.975,27.025,31.250,25.771,43.746,24.004,36.508,48.288,25.158,25.663,16.042,24.846,20.500,40.246,50.233,30.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.357,3.076,NA,NA,NA,NA,NA,NA,NA,NA,4.368,3.228,1.563,4.666,4.747,3.141,3.663,4.121,9.975
1/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.983,96.828,97.811,99.118,99.284,100.323,100.904,102.595,97.945,25.004,33.004,22.658,20.650,52.896,25.938,25.738,31.917,24.900,27.367,22.442,29.325,22.263,45.142,21.896,37.600,43.038,35.804,23.867,17.179,19.629,15.700,33.883,55.163,29.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.702,3.133,NA,NA,NA,NA,NA,NA,NA,NA,4.205,3.074,1.828,4.857,5.750,3.103,3.879,3.942,13.513
1/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.139,96.275,98.259,98.425,98.459,99.871,99.712,101.783,95.626,23.279,33.108,21.679,19.600,55.096,30.088,27.067,30.150,21.888,27.963,23.758,40.725,23.163,42.900,24.571,32.150,38.825,22.613,20.496,20.192,31.679,16.846,32.583,54.321,30.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.649,3.259,NA,NA,NA,NA,NA,NA,NA,NA,3.973,3.028,1.669,4.728,4.700,3.194,3.758,3.674,12.846
1/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.592,96.195,98.446,98.293,98.494,99.394,100.468,102.350,95.358,26.588,31.550,21.192,19.392,49.442,29.263,24.425,30.413,23.183,25.313,20.300,49.471,25.058,41.971,25.308,34.858,42.558,20.250,24.271,20.946,25.717,19.471,35.250,63.350,31.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.728,3.560,NA,NA,NA,NA,NA,NA,NA,NA,3.798,2.774,2.004,4.594,4.339,3.062,3.850,3.600,11.988
1/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.989,97.189,98.977,98.305,98.306,98.699,98.964,102.407,93.332,26.825,23.325,24.379,22.371,47.713,27.967,24.271,30.704,21.271,25.442,23.296,86.696,26.600,38.054,24.350,34.817,33.717,16.042,21.942,24.400,27.488,21.604,35.646,57.079,31.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.709,3.698,NA,NA,NA,NA,NA,NA,NA,NA,3.715,2.801,2.589,4.374,4.378,2.831,3.913,3.679,11.142
1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.148,97.697,99.674,98.901,98.578,98.915,99.530,102.398,93.248,25.808,27.821,21.175,20.354,49.092,22.167,24.908,32.175,21.442,25.408,30.092,94.946,28.354,40.100,28.308,35.271,40.217,22.725,22.538,24.504,29.350,29.742,44.938,57.629,26.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.632,3.928,NA,NA,NA,NA,NA,NA,NA,NA,3.737,2.882,2.971,4.095,4.337,2.733,3.900,3.771,12.204
1/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.038,98.175,99.595,99.454,99.603,99.174,99.669,101.559,94.536,28.229,27.750,16.888,20.138,53.450,22.071,27.229,38.750,20.471,21.088,27.179,72.004,21.963,35.571,22.096,29.846,34.146,29.808,24.121,18.579,22.117,23.333,42.004,58.879,33.617,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.634,4.176,NA,NA,NA,NA,NA,NA,NA,NA,3.810,3.009,2.904,3.875,4.317,2.780,3.950,3.671,13.392
1/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.118,99.088,99.557,99.740,100.051,98.923,100.615,101.944,94.493,28.000,24.904,19.738,19.988,52.929,27.617,26.213,43.013,20.283,17.150,31.529,69.396,23.546,36.408,20.533,18.383,39.863,33.575,27.933,19.104,19.433,23.396,38.829,56.383,35.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.603,4.220,NA,NA,NA,NA,NA,NA,NA,NA,3.870,3.111,3.242,3.878,4.290,2.847,4.121,3.571,12.925
1/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.708,99.125,99.313,99.988,100.033,99.357,100.651,101.383,94.718,31.271,25.788,19.650,22.767,47.500,21.025,29.633,41.163,19.800,23.600,30.633,64.396,26.063,35.563,22.392,20.713,37.742,26.713,19.588,16.288,23.471,17.842,39.121,57.483,36.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.528,0.000,0.000,0.000,0.000,0.000,0.362,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.944,4.207,NA,NA,NA,NA,NA,NA,NA,NA,3.752,3.310,3.312,3.941,4.160,2.992,4.117,3.500,12.742
1/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.501,99.499,99.794,100.050,99.277,99.528,100.287,101.353,89.383,31.925,27.038,19.967,25.046,51.396,29.417,28.383,35.938,16.938,22.354,31.363,67.621,24.933,33.383,25.071,33.729,35.588,25.963,17.079,26.192,28.558,21.871,33.250,62.296,38.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.219,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.992,4.208,NA,NA,NA,NA,NA,NA,NA,NA,3.606,3.488,3.376,4.000,4.000,3.085,4.083,3.571,11.952
1/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.325,100.089,100.952,100.075,98.373,100.250,100.345,101.228,87.679,30.804,25.283,24.092,23.796,46.342,27.075,29.558,33.438,21.404,21.517,33.921,62.654,23.583,35.629,21.096,29.658,33.179,24.183,21.667,22.217,27.258,26.058,35.621,54.283,36.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.134,4.207,NA,NA,NA,NA,NA,NA,NA,NA,3.561,3.588,3.383,4.274,3.662,3.113,3.963,3.783,11.541
1/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.754,101.325,101.900,100.271,99.145,100.847,100.789,99.196,NA,29.554,28.250,26.333,25.879,46.167,29.138,38.600,36.813,19.271,20.838,31.542,64.263,26.529,32.054,23.292,26.733,40.563,29.292,17.717,23.471,27.717,20.700,36.900,60.146,35.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.239,4.280,NA,NA,NA,NA,NA,NA,NA,NA,3.599,3.833,3.415,4.339,3.788,3.083,3.892,3.779,NA
1/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.893,101.451,100.914,100.419,101.032,101.063,101.024,100.150,NA,33.229,29.817,26.758,23.696,44.946,27.242,34.267,34.325,19.538,20.592,33.204,61.417,24.579,30.175,24.854,26.408,37.479,29.596,17.429,22.517,29.929,21.000,41.088,56.358,35.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.303,4.345,NA,NA,NA,NA,NA,NA,NA,NA,3.546,3.913,3.498,4.348,3.648,3.041,3.808,3.667,NA
1/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.883,101.716,100.808,101.462,101.129,100.553,100.423,100.122,NA,30.104,33.017,24.446,25.492,46.883,27.721,34.013,37.408,17.800,22.804,31.296,63.050,24.633,35.842,24.458,22.700,41.413,28.433,20.254,20.167,25.158,19.704,38.192,55.567,38.217,0.000,0.000,9.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.259,4.387,NA,NA,NA,NA,NA,NA,NA,NA,3.371,3.935,3.553,4.374,3.622,3.052,3.833,3.525,NA
1/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.114,101.396,101.263,101.499,100.033,100.347,99.723,99.409,100.593,32.154,30.050,28.288,21.858,42.683,30.971,33.067,36.388,18.796,23.496,32.183,57.254,27.188,39.342,19.992,21.554,36.913,32.842,24.163,27.313,24.063,25.938,35.550,52.283,41.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.271,4.278,NA,NA,NA,NA,NA,NA,NA,NA,3.250,4.155,3.616,4.368,3.645,3.092,3.779,3.358,11.800
1/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.151,101.266,101.303,100.782,99.095,101.020,100.123,101.042,101.275,31.771,26.908,33.267,22.438,49.442,26.771,31.608,38.554,19.892,27.613,32.842,49.925,26.467,26.358,30.333,15.879,34.371,32.958,29.392,42.896,23.458,25.446,36.746,51.129,42.071,0.000,0.000,5.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.508,0.000,0.000,0.278,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.279,4.177,NA,NA,NA,NA,NA,NA,NA,NA,3.162,4.300,3.812,4.388,3.496,3.035,3.613,3.229,10.179
1/29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.744,100.261,101.720,100.542,98.520,101.111,100.898,101.415,101.525,26.700,28.754,31.158,20.458,43.733,28.767,33.704,41.558,16.167,24.475,32.933,55.788,21.258,31.250,19.638,29.600,33.475,28.575,26.767,44.921,31.779,32.075,34.392,50.313,40.392,0.000,0.000,0.000,3.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.233,4.362,NA,NA,NA,NA,NA,NA,NA,NA,3.076,4.383,3.993,4.538,3.351,3.192,3.517,3.074,11.871
